Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
19,Exit long,2026-06-19 20:03,GOLD FLIP,1.14779,2000,2300.26,-4.76,-0.21,0.08,5.35,0.23,-16.77,-0.73,32.04,3.20,952
19,Entry long,2026-06-17 20:27,GOLD BUY,1.15013,2000,2300.26,-4.76,-0.21,0.08,5.35,0.23,-16.77,-0.73,32.04,3.20,952
20,Exit long,2026-06-19 20:03,GOLD FLIP,1.14779,2000,2291.2,4.3,0.19,0.08,4.87,0.21,-7.71,-0.34,36.41,3.64,480
20,Entry long,2026-06-18 20:03,GOLD BUY,1.1456,2000,2291.2,4.3,0.19,0.08,4.87,0.21,-7.71,-0.34,36.41,3.64,480
21,Exit long,2026-06-19 20:03,GOLD FLIP,1.14779,2000,2291.24,4.26,0.19,0.08,4.83,0.21,-7.75,-0.34,40.73,4.07,476
21,Entry long,2026-06-18 20:15,GOLD BUY,1.14562,2000,2291.24,4.26,0.19,0.08,4.83,0.21,-7.75,-0.34,40.73,4.07,476
22,Exit long,2026-06-19 20:03,GOLD FLIP,1.14779,2000,2285.58,9.92,0.43,0.08,10.49,0.46,-2.09,-0.09,50.72,5.07,280
22,Entry long,2026-06-19 06:03,GOLD BUY,1.14279,2000,2285.58,9.92,0.43,0.08,10.49,0.46,-2.09,-0.09,50.72,5.07,280
23,Exit short,2026-06-22 20:03,GOLD FLIP,1.14238,2000,2295.58,10.72,0.47,0.11,11.01,0.48,-0.19,-0.01,61.37,6.14,479
23,Entry short,2026-06-19 20:03,GOLD SELL,1.14779,2000,2295.58,10.72,0.47,0.11,11.01,0.48,-0.19,-0.01,61.37,6.14,479
24,Exit short,2026-06-22 20:03,GOLD FLIP,1.14238,2000,2292.6,7.74,0.34,0.11,8.03,0.35,-2.19,-0.10,69.17,6.92,380
24,Entry short,2026-06-22 01:03,GOLD SELL,1.1463,2000,2292.6,7.74,0.34,0.11,8.03,0.35,-2.19,-0.10,69.17,6.92,380
25,Exit long,2026-06-25 05:03,GOLD FLIP,1.13701,2000,2284.76,-10.83,-0.47,0.09,2.97,0.13,-19.95,-0.87,58.13,5.81,1140
25,Entry long,2026-06-22 20:03,GOLD BUY,1.14238,2000,2284.76,-10.83,-0.47,0.09,2.97,0.13,-19.95,-0.87,58.13,5.81,1140
26,Exit long,2026-06-25 05:03,GOLD FLIP,1.13701,2000,2276.06,-2.13,-0.09,0.09,0.63,0.03,-11.25,-0.49,56.08,5.61,660
26,Entry long,2026-06-23 20:03,GOLD BUY,1.13803,2000,2276.06,-2.13,-0.09,0.09,0.63,0.03,-11.25,-0.49,56.08,5.61,660
27,Exit long,2026-06-25 05:03,GOLD FLIP,1.13701,2000,2275.14,-1.21,-0.05,0.09,0.49,0.02,-10.33,-0.45,54.94,5.49,550
27,Entry long,2026-06-24 01:33,GOLD BUY,1.13757,2000,2275.14,-1.21,-0.05,0.09,0.49,0.02,-10.33,-0.45,54.94,5.49,550
28,Exit long,2026-06-25 05:03,GOLD FLIP,1.13701,2000,2271.1,2.83,0.12,0.09,3.07,0.14,-1.63,-0.07,57.84,5.78,178
28,Entry long,2026-06-24 20:09,GOLD BUY,1.13555,2000,2271.1,2.83,0.12,0.09,3.07,0.14,-1.63,-0.07,57.84,5.78,178
29,Exit short,2026-06-26 20:24,GOLD FLIP,1.13823,2000,2274.02,-2.53,-0.11,0.09,7.23,0.32,-12.87,-0.57,55.1,5.51,786
29,Entry short,2026-06-25 05:03,GOLD SELL,1.13701,2000,2274.02,-2.53,-0.11,0.09,7.23,0.32,-12.87,-0.57,55.1,5.51,786
30,Exit short,2026-06-26 20:24,GOLD FLIP,1.13823,2000,2274.52,-2.03,-0.09,0.09,3.61,0.16,-12.37,-0.54,53.15,5.31,486
30,Entry short,2026-06-25 20:03,GOLD SELL,1.13726,2000,2274.52,-2.03,-0.09,0.09,3.61,0.16,-12.37,-0.54,53.15,5.31,486
31,Exit short,2026-06-26 20:24,GOLD FLIP,1.13823,2000,2275.26,-1.29,-0.06,0.09,0.89,0.04,-11.63,-0.51,51.93,5.19,286
31,Entry short,2026-06-26 06:06,GOLD SELL,1.13763,2000,2275.26,-1.29,-0.06,0.09,0.89,0.04,-11.63,-0.51,51.93,5.19,286
32,Exit short,2026-06-26 20:24,GOLD FLIP,1.13823,2000,2277.18,0.63,0.03,0.09,0.75,0.03,-0.33,-0.01,52.63,5.26,7
32,Entry short,2026-06-26 20:03,GOLD SELL,1.13859,2000,2277.18,0.63,0.03,0.09,0.75,0.03,-0.33,-0.01,52.63,5.26,7
33,Exit long,2026-06-29 02:00,GOLD FLIP,1.13874,2000,2276.46,0.92,0.04,0.11,1.89,0.08,-0.91,-0.04,53.48,5.35,110
33,Entry long,2026-06-26 20:24,GOLD BUY,1.13823,2000,2276.46,0.92,0.04,0.11,1.89,0.08,-0.91,-0.04,53.48,5.35,110
34,Exit long,2026-06-29 02:00,GOLD FLIP,1.13874,2000,2277.54,-0.16,-0.01,0.11,0.27,0.01,-0.79,-0.03,53.38,5.34,19
34,Entry long,2026-06-29 01:03,GOLD BUY,1.13877,2000,2277.54,-0.16,-0.01,0.11,0.27,0.01,-0.79,-0.03,53.38,5.34,19
35,Exit short,2026-06-30 05:03,GOLD FLIP,1.13981,2000,2277.48,-2.23,-0.10,0.09,1.19,0.05,-8.73,-0.38,51.01,5.10,541
