Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
166,Entry short,2026-05-27 06:06,GOLD SELL,1.16431,2000,2328.62,2.52,0.11,0.14,4.11,0.18,-3.65,-0.16,245.33,24.53,279
167,Exit long,2026-05-28 20:03,GOLD FLIP,1.1649,2000,2325.96,3.75,0.16,0.09,6.13,0.26,-8.77,-0.38,248.94,24.89,480
167,Entry long,2026-05-27 20:03,GOLD BUY,1.16298,2000,2325.96,3.75,0.16,0.09,6.13,0.26,-8.77,-0.38,248.94,24.89,480
168,Exit long,2026-05-28 20:03,GOLD FLIP,1.1649,2000,2323.8,5.91,0.25,0.09,8.29,0.36,-6.61,-0.28,254.91,25.49,380
168,Entry long,2026-05-28 01:03,GOLD BUY,1.1619,2000,2323.8,5.91,0.25,0.09,8.29,0.36,-6.61,-0.28,254.91,25.49,380
169,Exit long,2026-05-28 20:03,GOLD FLIP,1.1649,2000,2317.54,12.17,0.52,0.09,14.55,0.63,-0.35,-0.02,267.15,26.72,300
169,Entry long,2026-05-28 05:03,GOLD BUY,1.15877,2000,2317.54,12.17,0.52,0.09,14.55,0.63,-0.35,-0.02,267.15,26.72,300
170,Exit short,2026-06-01 20:03,GOLD FLIP,1.16333,2000,2329.8,3.05,0.13,0.09,8.35,0.36,-7.43,-0.32,270.06,27.01,959
170,Entry short,2026-05-28 20:03,GOLD SELL,1.1649,2000,2329.8,3.05,0.13,0.09,8.35,0.36,-7.43,-0.32,270.06,27.01,959
171,Exit short,2026-06-01 20:03,GOLD FLIP,1.16333,2000,2333.26,6.51,0.28,0.09,11.81,0.51,-0.69,-0.03,276.63,27.66,479
171,Entry short,2026-05-29 20:03,GOLD SELL,1.16663,2000,2333.26,6.51,0.28,0.09,11.81,0.51,-0.69,-0.03,276.63,27.66,479
172,Exit short,2026-06-01 20:03,GOLD FLIP,1.16333,2000,2329.86,3.11,0.13,0.09,8.41,0.36,-3.21,-0.14,279.81,27.98,380
172,Entry short,2026-06-01 01:03,GOLD SELL,1.16493,2000,2329.86,3.11,0.13,0.09,8.41,0.36,-3.21,-0.14,279.81,27.98,380
173,Exit long,2026-06-02 06:15,GOLD FLIP,1.1639,2000,2326.66,1,0.04,0.14,1.15,0.05,-1.71,-0.07,280.81,28.08,204
173,Entry long,2026-06-01 20:03,GOLD BUY,1.16333,2000,2326.66,1,0.04,0.14,1.15,0.05,-1.71,-0.07,280.81,28.08,204
174,Exit short,2026-06-02 20:03,GOLD FLIP,1.16294,2000,2327.8,1.78,0.08,0.14,5.01,0.22,-3.43,-0.15,282.59,28.26,276
174,Entry short,2026-06-02 06:15,GOLD SELL,1.1639,2000,2327.8,1.78,0.08,0.14,5.01,0.22,-3.43,-0.15,282.59,28.26,276
175,Exit long,2026-06-05 06:36,GOLD FLIP,1.16184,2000,2325.88,-2.28,-0.10,0.08,3.07,0.13,-7.09,-0.30,280.03,28.00,1171
175,Entry long,2026-06-02 20:03,GOLD BUY,1.16294,2000,2325.88,-2.28,-0.10,0.08,3.07,0.13,-7.09,-0.30,280.03,28.00,1171
176,Exit long,2026-06-05 06:36,GOLD FLIP,1.16184,2000,2323.8,-0.2,-0.01,0.08,5.15,0.22,-5.01,-0.22,279.89,27.99,952
176,Entry long,2026-06-03 07:00,GOLD BUY,1.1619,2000,2323.8,-0.2,-0.01,0.08,5.15,0.22,-5.01,-0.22,279.89,27.99,952
